"","time","ABi","ABo","Tau","Fi","Fo","A","M1","M2","N"
"25",25,2.49366049415549e-06,2.00164578502423e-07,3.54738780600102e-10,3.25926012977146e-10,3.44598735741975e-11,0.159382332567949,0.0236552265667216,0.0149236653533941,0.139501163336833
"26",26,2.55365725904708e-06,2.07236852923091e-07,3.57708368868931e-10,3.2561680352684e-10,3.44949494822239e-11,0.160258288150183,0.0237833293855837,0.0147495094077161,0.139480563127225
"27",27,2.61366819524351e-06,2.14248310113812e-07,3.60666692007755e-10,3.25313391555159e-10,3.45299737216725e-11,0.161138928708882,0.0239097338664859,0.0145779671904624,0.139459975796393
"28",28,2.67366713766918e-06,2.21199690649245e-07,3.63616460643156e-10,3.25015743145811e-10,3.45649470985138e-11,0.162024172695332,0.0240344647468682,0.0144089997334489,0.139439401162799
"29",29,2.73366451964294e-06,2.28091721685892e-07,3.66559726193303e-10,3.24723828434777e-10,3.45998704141235e-11,0.16291393976449,0.0241575464020737,0.0142425686493787,0.139418839045547
"30",30,2.79366351405557e-06,2.34925117857216e-07,3.6949804481168e-10,3.24437620616685e-10,3.46347444657754e-11,0.163808150761212,0.0242790028495274,0.0140786361250445,0.139398289264272
"31",31,2.85366290536337e-06,2.4170058275583e-07,3.72432633762222e-10,3.24157094991133e-10,3.46695700473821e-11,0.16470672758516,0.0243988577894001,0.0139171648560284,0.139377751639026
"32",32,2.91366201882341e-06,2.48418807799397e-07,3.7536441206269e-10,3.23882228722292e-10,3.47043479493434e-11,0.165609593301849,0.0245171345712415,0.0137581181001354,0.139357225990275
"33",33,2.97366048315195e-06,2.55080470400408e-07,3.78294001343607e-10,3.2361300084319e-10,3.47390789581125e-11,0.166516672327364,0.0246338561384548,0.013601459766363,0.13933671213894
"34",34,3.03365957646969e-06,2.616862363896e-07,3.81221886887124e-10,3.2334939126977e-10,3.47737638571346e-11,0.167427890204395,0.0247490450957233,0.01344715430667,0.139316209906261
"35",35,3.09365936340984e-06,2.68236761599633e-07,3.84148483703508e-10,3.23091380394288e-10,3.48084034273252e-11,0.168343173464514,0.0248627237504687,0.0132951666494197,0.139295719113736
"36",36,3.15365832152157e-06,2.74732691512434e-07,3.87074121358613e-10,3.22838949179735e-10,3.48429984469102e-11,0.169262449670285,0.0249749141002091,0.0131454622195959,0.139275239583151
"37",37,3.2136567512879e-06,2.81174660782792e-07,3.89999039174494e-10,3.22592079191755e-10,3.48775496912794e-11,0.170185647463622,0.0250856378180486,0.0129980069620107,0.139254771136601
"38",38,3.27365616513471e-06,2.87563293343728e-07,3.92923408164824e-10,3.22350752466189e-10,3.49120579330295e-11,0.171112696564028,0.0251949162532427,0.0128527673403314,0.139234313596483
"39",39,3.33365581627232e-06,2.93899202833954e-07,3.9584735686417e-10,3.22114951351692e-10,3.49465239420777e-11,0.172043527739523,0.0253027704399828,0.0127097103229252,0.139213866785485
"40",40,3.39365434383286e-06,3.00182992927175e-07,3.9877098594252e-10,3.21884658420379e-10,3.49809484857408e-11,0.172978072779445,0.0254092211056126,0.0125688033696221,0.139193430526581
"41",41,3.4536529519566e-06,3.06415257534461e-07,4.01694373648958e-10,3.21659856434505e-10,3.50153323287644e-11,0.173916264477268,0.02551428867583,0.0124300144233123,0.139173004643036
"42",42,3.51365272958635e-06,3.12596581035271e-07,4.04617579080306e-10,3.21440528326559e-10,3.50496762333362e-11,0.174858036618419,0.0256179932783835,0.0122933119039616,0.139152588958409
"43",43,3.57365207741523e-06,3.18727538501728e-07,4.07540646270885e-10,3.21226657174361e-10,3.50839809591014e-11,0.175803323967809,0.0257203547468563,0.012158664702486,0.139132183296561
"44",44,3.63365039793528e-06,3.24808695846895e-07,4.10463608363289e-10,3.21018226175594e-10,3.51182472631832e-11,0.176752062255792,0.0258213926249207,0.0120260421738742,0.139111787481657
"45",45,3.6936496995062e-06,3.30840610011185e-07,4.13386490702907e-10,3.20815218628819e-10,3.51524759002007e-11,0.177704188163557,0.0259211261707654,0.0118954141300331,0.139091401338174
"46",46,3.7536488733429e-06,3.36823829241483e-07,4.16309312556863e-10,3.20617617922825e-10,3.51866676222829e-11,0.178659639308902,0.0260195743614028,0.0117667508328292,0.139071024690903
"47",47,3.81364787143396e-06,3.4275889322158e-07,4.19232088600256e-10,3.20425407527424e-10,3.52208231790816e-11,0.179618354232488,0.0261167558968356,0.0116400229873538,0.139050657364962
"48",48,3.87364692805824e-06,3.48646333267822e-07,4.22154829955e-10,3.2023857098694e-10,3.5254943317782e-11,0.180580272384434,0.0262126892041161,0.0115152017353651,0.139030299185795
"49",49,3.93364601946123e-06,3.54486672516602e-07,4.2507754503991e-10,3.20057091914866e-10,3.52890287831133e-11,0.181545334111097,0.026307392441353,0.0113922586488134,0.139009949979184
"50",50,3.99364508944975e-06,3.60280426096518e-07,4.28000240235026e-10,3.19880953989626e-10,3.53230803173582e-11,0.182513480641982,0.0264008835016747,0.0112711657234375,0.138989609571254
"51",51,4.05364415327994e-06,3.66028101290301e-07,4.30922920361821e-10,3.19710140951476e-10,3.53570986603623e-11,0.183484654077428,0.0264931800169602,0.0111518953727386,0.13896927778848
"52",52,4.11364322407413e-06,3.71730197703884e-07,4.33845589062569e-10,3.19544636599997e-10,3.53910845495429e-11,0.184458797375798,0.0265842993617185,0.0110344204217128,0.138948954457694
"53",53,4.17364230420102e-06,3.77387207456839e-07,4.36768249169811e-10,3.1938442479162e-10,3.54250387198991e-11,0.18543585433883,0.0266742586575239,0.0109187140996869,0.138928639406091
"54",54,4.23364137211196e-06,3.8299961533414e-07,4.39690902858127e-10,3.1922948943852e-10,3.54589619040201e-11,0.186415769599815,0.0267630747765981,0.0108047500345337,0.13890833246124
"55",55,4.29364043260863e-06,3.88567898913456e-07,4.42613551723158e-10,3.19079814507961e-10,3.54928548320917e-11,0.187398488613409,0.0268507643448924,0.010692502247694,0.138888033451084
"56",56,4.35363951100414e-06,3.94092528711189e-07,4.45536196927066e-10,3.18935384021223e-10,3.55267182319044e-11,0.188383957643978,0.0269373437456176,0.0105819451484764,0.138867742203953
"57",57,4.41363858949166e-06,3.99573968344986e-07,4.48458839359753e-10,3.18796182052413e-10,3.55605528288621e-11,0.189372123752639,0.0270228291231678,0.0104730535277212,0.138847458548567
"58",58,4.47363765012975e-06,4.05012674689004e-07,4.51381479725841e-10,3.18662192727721e-10,3.55943593459909e-11,0.190362934784609,0.0271072363869495,0.0103658025516172,0.138827182314044
"59",59,4.5336367201036e-06,4.10409098002472e-07,4.5430411856332e-10,3.18533400225124e-10,3.56281385039459e-11,0.191356339358534,0.027190581214611,0.010260167756489,0.138806913329907
"60",60,4.59363579294145e-06,4.15763682054041e-07,4.57226756264223e-10,3.18409788774083e-10,3.56618910210187e-11,0.192352286856178,0.0272728790551647,0.0101561250437557,0.138786651426093
"61",61,4.65363486354236e-06,4.21076864258501e-07,4.60149393114726e-10,3.18291342655099e-10,3.56956176131451e-11,0.193350727410871,0.0273541451324816,0.0100536506742895,0.138766396432953
"62",62,4.71363393414986e-06,4.26349075812477e-07,4.63072029330933e-10,3.18178046199292e-10,3.57293189939132e-11,0.194351611895995,0.027434394448777,0.00995272126279081,0.138746148181266
"63",63,4.77363300548356e-06,4.31580741821067e-07,4.65994665078445e-10,3.18069883788089e-10,3.57629958745708e-11,0.195354891914112,0.027513641787899,0.00985331377247874,0.13872590650224
"64",64,4.83363207671468e-06,4.3677228141812e-07,4.68917300481991e-10,3.17966839852981e-10,3.57966489640332e-11,0.196360519786497,0.0275919017184959,0.00975540550998048,0.138705671227523
"65",65,4.89363114779602e-06,4.41924107883942e-07,4.71839935632846e-10,3.17868898875285e-10,3.58302789688903e-11,0.197368448542787,0.0276691885971475,0.00965897412027752,0.138685442189206
"66",66,4.95363021895063e-06,4.4703662876128e-07,4.74762570596397e-10,3.17776045385908e-10,3.5863886593414e-11,0.198378631910679,0.0277455165714821,0.00956399758167687,0.138665219219831
"67",67,5.01362929014181e-06,4.52110245963904e-07,4.77685205418662e-10,3.17688263965135e-10,3.58974725395657e-11,0.199391024306202,0.0278208995831181,0.00947045420106366,0.138645002152398
"68",68,5.07362836130531e-06,4.5714535588828e-07,4.80607840131486e-10,3.17605539242399e-10,3.59310375070032e-11,0.200405580823602,0.0278953513707238,0.00937832260896517,0.138624790820366
"69",69,5.13362743240419e-06,4.62142349540053e-07,4.83530474757199e-10,3.17527855896041e-10,3.59645821930894e-11,0.201422257223786,0.0279688854735115,0.00928758175391379,0.138604585057669
"70",70,5.19362650353618e-06,4.6710161263481e-07,4.86453109310129e-10,3.17455198653118e-10,3.59981072929e-11,0.202441009925002,0.0280415152340564,0.00919821089789964,0.138584384698715
"71",71,5.25362557468461e-06,4.72023525683318e-07,4.89375743797371e-10,3.17387552289246e-10,3.60316134992285e-11,0.203461795994812,0.0281132538007235,0.00911018961245677,0.138564189578391
"72",72,5.31362464570609e-06,4.76908464088771e-07,4.92298378220672e-10,3.17324901628404e-10,3.60651015025944e-11,0.204484573140895,0.0281841141304468,0.00902349777417968,0.138543999532074
"73",73,5.37362371667348e-06,4.81756798254545e-07,4.95221012578543e-10,3.17267231542726e-10,3.60985719912503e-11,0.205509299700825,0.0282541089918213,0.00893811555973795,0.138523814395634
"74",74,5.43362278768882e-06,4.86568893688299e-07,4.98143646867311e-10,3.17214526952293e-10,3.61320256511901e-11,0.206535934632092,0.028323250968118,0.00885402344101253,0.13850363400544
"75",75,5.49362185859813e-06,4.91345111088334e-07,5.01066281081271e-10,3.17166772824965e-10,3.61654631661558e-11,0.207564437503687,0.0283915524598275,0.00877120218099597,0.138483458198366
"76",76,5.55362092942579e-06,4.96085806426062e-07,5.03988915212918e-10,3.17123954176211e-10,3.61988852176438e-11,0.208594768487969,0.028459025687118,0.00868963282982763,0.138463286811798
"77",77,5.61362000019131e-06,5.00791331037944e-07,5.06911549253455e-10,3.17086056068921e-10,3.62322924849121e-11,0.209626888351551,0.0285256826925888,0.00860929672035609,0.138443119683637
"78",78,5.67361907087627e-06,5.05462031716484e-07,5.09834183193258e-10,3.17053063613215e-10,3.62656856449886e-11,0.210660758446221,0.0285915353440143,0.0085301754637146,0.138422956652308
"79",79,5.73361814146917e-06,5.10098250795125e-07,5.12756817022114e-10,3.17024961966263e-10,3.62990653726772e-11,0.21169634070036,0.0286565953369345,0.00845225094514485,0.138402797556763
"80",80,5.7936172119667e-06,5.14700326229088e-07,5.15679450729333e-10,3.17001736332108e-10,3.63324323405653e-11,0.212733597610694,0.02872087419715,0.00837550531997715,0.138382642236486
"81",81,5.85361628236189e-06,5.19268591674557e-07,5.18602084303841e-10,3.16983371961489e-10,3.63657872190309e-11,0.21377249223412,0.0287843832831872,0.00829992100965517,0.138362490531502
"82",82,5.91361535264622e-06,5.2380337656682e-07,5.21524717734265e-10,3.16969854151671e-10,3.63991306762489e-11,0.214812988179581,0.0288471337887539,0.00822548069778061,0.13834234228238
"83",83,5.97361442281247e-06,5.28305006193407e-07,5.24447351009023e-10,3.16961168246271e-10,3.64324633781986e-11,0.215855049600395,0.0289091367450558,0.00815216732637899,0.138322197330236
"84",84,6.03361349285366e-06,5.32773801769441e-07,5.27369984116382e-10,3.16957299635085e-10,3.64657859886699e-11,0.216898641186269,0.0289704030232066,0.00807996409201711,0.138302055516742
"85",85,6.09361256276257e-06,5.37210080523044e-07,5.3029261704452e-10,3.16958233753888e-10,3.6499099169272e-11,0.21794372815419,0.0290309433369792,0.00800885444136953,0.138281916684131
"86",86,6.15361163253164e-06,5.41614155763464e-07,5.33215249781543e-10,3.16963956084261e-10,3.65324035794398e-11,0.218990276241068,0.0290907682450257,0.00793882206764301,0.138261780675201
"87",87,6.21361070215375e-06,5.45986336938921e-07,5.36137882315499e-10,3.16974452153453e-10,3.65656998764395e-11,0.220038251697394,0.0291498881527916,0.00786985090749266,0.138241647333317
"88",88,6.27360977162172e-06,5.50326929702472e-07,5.39060514634395e-10,3.1698970753421e-10,3.65989887153756e-11,0.22108762127999,0.0292083133147035,0.0078019251374986,0.138221516502422
"89",89,6.33360884092829e-06,5.54636235985033e-07,5.41983146726228e-10,3.17009707844592e-10,3.6632270749198e-11,0.222138352243948,0.0292660538366014,0.00773502917024776,0.138201388027037
"90",90,6.39360791006628e-06,5.58914554066053e-07,5.44905778578996e-10,3.17034438747788e-10,3.66655466287099e-11,0.223190412334758,0.0293231196781149,0.00766914765050725,0.138181261752269
"91",91,6.45360697902848e-06,5.63162178632298e-07,5.478284101807e-10,3.1706388595196e-10,3.66988170025732e-11,0.22424376978166,0.029379520654668,0.0076042654519965,0.138161137523812
"92",92,6.5136060478078e-06,5.67379400834018e-07,5.50751041519353e-10,3.17098035210086e-10,3.67320825173158e-11,0.225298393291223,0.0294352664394151,0.00754036767426907,0.138141015187957
"93",93,6.57360511639707e-06,5.71566508347576e-07,5.53673672582982e-10,3.17136872319789e-10,3.67653438173377e-11,0.226354252040162,0.0294903665654083,0.00747743963922408,0.138120894591592
"94",94,6.63360418478922e-06,5.75723785437494e-07,5.56596303359631e-10,3.17180383123166e-10,3.67986015449184e-11,0.22741131566817,0.0295448304277588,0.00741546688762629,0.138100775582207
"95",95,6.6936032529771e-06,5.79851513014458e-07,5.59518933837372e-10,3.17228553506615e-10,3.68318563402236e-11,0.22846955427115,0.0295986672856776,0.00735443517582034,0.138080658007901
"96",96,6.75360232095369e-06,5.83949968690612e-07,5.624415640043e-10,3.1728136940068e-10,3.68651088413117e-11,0.229528938394693,0.0296518862644409,0.0072943304725682,0.138060541717387
"97",97,6.81360138871188e-06,5.88019426833782e-07,5.6536419384854e-10,3.17338816779883e-10,3.68983596841401e-11,0.230589439027638,0.0297044963573325,0.00723513895592264,0.138040426559991
"98",98,6.87360045624471e-06,5.92060158621037e-07,5.68286823358244e-10,3.17400881662566e-10,3.69316095025722e-11,0.231651027595656,0.0297565064275766,0.00717684701011632,0.138020312385662
"99",99,6.93359952354507e-06,5.96072432088876e-07,5.71209452521596e-10,3.17467550110733e-10,3.69648589283836e-11,0.232713675955195,0.0298079252101631,0.00711944122262482,0.138000199044974
"100",100,6.988017283074e-06,6.0005617885142e-07,5.74095898074409e-10,3.17538782245292e-10,3.69981085897096e-11,0.233777356386918,0.0298587613137416,0.00706290838111279,0.137980086389501
